layer2_treatmentcontrast,layer3_specificoutcome,est,se,p,p.adj
31 pro - 22 pro,mw_restrict_w2,-0.000387718678699273,0.0108879439465368,0.971596036598317,0.971596036598317
anti 31 - anti 22,mw_restrict_w2,-0.004414395911018,0.0146927483209186,0.763859119617807,0.943232420839221
31 neutral pro - 22 neutral pro,mw_restrict_w2,0.00403479740723547,0.0205271430603373,0.844187326466527,0.943232420839221
31 neutral anti - 22 neutral anti,mw_restrict_w2,0.0343314822728112,0.0229039240785278,0.134007354668482,0.268014709336964
31 neutral anti - 31 neutral pro,mw_restrict_w2,0.0410179735419902,0.0221335508949732,0.0639620654113949,0.191886196234185
22 neutral anti - 22 neutral pro,mw_restrict_w2,0.0107212886764144,0.0213575336716766,0.615714757152475,0.923572135728713
31 pro - 22 pro,mw_help_w2,0.00813583066259681,0.0116763765742764,0.486002210731439,0.83314664696818
anti 31 - anti 22,mw_help_w2,0.0491472714212841,0.0156526395270271,0.00170845014316618,0.0102507008589971
31 neutral pro - 22 neutral pro,mw_help_w2,-0.00414785229963474,0.0243275864212255,0.86462971910262,0.943232420839221
31 neutral anti - 22 neutral anti,mw_help_w2,0.0505665428950433,0.0267844113603635,0.0591450103283734,0.191886196234185
31 neutral anti - 31 neutral pro,mw_help_w2,0.0980573973943419,0.0258151971773569,0.000148815400181373,0.00178578480217647
22 neutral anti - 22 neutral pro,mw_help_w2,0.0433430021996639,0.0253547330750493,0.0874796959043591,0.209951270170462
